timestamp_ms,ax_slav,ay_slav,az_slav,gx_slav,gy_slav,gz_slav,angle_x_slav,angle_y_slav,angle_z_slav,flex_slav_0,flex_slav_1,flex_slav_2,flex_slav_3,flex_slav_4,ax,ay,az,gx,gy,gz,angle_x,angle_y,angle_z,flex_0,flex_1,flex_2,flex_3,flex_4,Label
294338,-0.7991,-2.9994,-9.3024,-0.0690,0.1712,-0.1981,-18.1774,-4.8268,161.1490,70.43,98.92,110.56,131.58,94.86,-1.2408,4.1732,-8.6577,-0.1112,0.0394,0.0142,25.4790,-7.1451,153.3973,173.37,269.19,241.83,97.74,126.23,nothing
294404,-0.7327,-3.1395,-9.5251,-0.0070,-0.0432,-0.0555,-18.1852,-4.4995,161.2283,81.15,94.44,101.72,127.34,90.62,-1.2319,4.1295,-8.6751,-0.1033,0.0829,-0.0104,25.3566,-7.2257,153.4909,163.49,249.83,214.99,80.91,130.57,nothing
294470,-0.8308,-3.1132,-9.2964,-0.0795,0.2567,-0.1481,-18.3149,-4.6706,161.0576,75.79,89.96,97.30,123.11,94.86,-1.2007,4.0380,-8.6236,-0.1982,0.0804,0.0187,25.1196,-7.2065,153.7265,153.62,230.47,228.41,97.74,139.25,nothing
294536,-0.5118,-2.9719,-9.4790,-0.0649,0.2248,-0.1708,-17.8504,-3.8081,161.7210,70.43,89.96,101.72,127.34,94.86,-1.1977,4.2092,-8.6655,-0.0872,0.0810,0.0232,25.4084,-7.1467,153.4653,163.49,259.51,255.25,97.74,130.57,nothing
294602,-0.7398,-3.0551,-9.2216,0.0153,-0.0499,0.0506,-18.0611,-4.0791,161.4527,81.15,98.92,101.72,127.34,90.62,-1.2085,4.1559,-8.6093,-0.1885,0.0543,-0.0076,25.4788,-7.1757,153.3880,183.25,259.51,228.41,86.52,121.89,nothing
294669,-0.5022,-2.9384,-9.4939,-0.0356,0.0474,-0.0093,-17.6163,-3.4825,162.0205,75.79,94.44,97.30,123.11,90.62,-1.2510,4.2546,-8.6895,-0.1046,0.0390,0.0523,25.6687,-7.2722,153.1740,163.49,220.79,214.99,92.13,134.91,nothing
294735,-0.5794,-3.1120,-9.4449,-0.0147,-0.1016,0.0601,-17.9114,-3.4084,161.7454,70.43,89.96,97.30,127.34,99.09,-1.2402,4.1996,-8.6488,-0.1532,0.0564,0.0154,25.6700,-7.3113,153.1604,173.37,259.51,255.25,97.74,134.91,nothing
294801,-0.6572,-3.0880,-9.3144,-0.0266,0.0753,-0.0818,-18.1048,-3.6191,161.5122,75.79,98.92,101.72,127.34,94.86,-1.2851,4.1924,-8.6470,-0.2402,0.0791,0.0185,25.6457,-7.4642,153.1356,193.13,259.51,228.41,92.13,121.89,nothing
294867,-0.6596,-3.0126,-9.3724,0.0213,-0.0528,0.0215,-17.9415,-3.7261,161.6497,81.15,94.44,97.30,123.11,90.62,-1.2905,4.0918,-8.7080,-0.0999,0.1157,-0.0228,25.2875,-7.5520,153.4536,173.37,240.15,201.58,86.52,134.91,nothing
294933,-0.6040,-3.0479,-9.3587,-0.0548,0.0346,0.0027,-17.9729,-3.6188,161.6418,70.43,85.48,101.72,127.34,90.62,-1.1840,4.2325,-8.7254,-0.1140,0.0849,0.0275,25.4810,-7.2553,153.3612,153.62,240.15,241.83,103.35,134.91,nothing
294999,-0.6524,-2.9893,-9.4066,-0.0155,-0.0438,0.0852,-17.7812,-3.7005,161.8125,70.43,98.92,106.14,127.34,90.62,-1.1834,4.1445,-8.6955,-0.2665,0.0927,0.0142,25.3808,-7.1297,153.4972,183.25,269.19,241.83,92.13,126.23,nothing
295065,-0.7662,-3.0814,-9.4084,0.0176,0.0628,0.0044,-17.9308,-4.0638,161.5837,81.15,98.92,114.98,123.11,86.39,-1.1912,4.2271,-8.6883,-0.1471,0.0755,-0.0117,25.5581,-7.0789,153.3408,183.25,249.83,214.99,80.91,126.23,nothing
295131,-0.6746,-3.0383,-9.3742,0.0165,-0.0172,0.0390,-17.9229,-3.9901,161.6086,75.79,89.96,92.89,123.11,94.86,-1.2408,4.1726,-8.6619,-0.2080,0.0755,0.0237,25.5264,-7.2161,153.3294,173.37,230.47,228.41,97.74,139.25,nothing
295197,-0.7087,-3.0449,-9.3305,0.0165,0.0086,0.0397,-17.9739,-4.0599,161.5425,70.43,94.44,101.72,127.34,94.86,-1.2301,4.0817,-8.6703,-0.2581,0.0885,0.0120,25.2589,-7.2652,153.5732,183.25,269.19,241.83,97.74,130.57,nothing
295263,-0.6195,-3.0156,-9.4604,0.0176,0.0150,-0.0577,-17.8088,-3.8140,161.7604,81.15,98.92,101.72,123.11,90.62,-1.2606,4.0912,-8.6883,-0.0627,0.0354,0.0675,25.1225,-7.3717,153.6713,193.13,259.51,228.41,86.52,121.89,nothing
295329,-0.7530,-3.1078,-9.3527,0.0123,-0.0416,0.0339,-18.0672,-4.0913,161.4439,75.79,94.44,97.30,118.87,90.62,-1.2372,4.0685,-8.6907,-0.1675,0.1058,0.0503,24.9945,-7.3594,153.7990,173.37,230.47,214.99,97.74,134.91,nothing
295395,-0.6656,-3.0755,-9.4006,-0.0065,0.0116,0.0157,-18.0704,-3.9705,161.4688,65.07,85.48,97.30,131.58,94.86,-1.2349,4.0924,-8.6158,-0.1358,0.0596,0.0326,25.0881,-7.3680,153.7059,173.37,259.51,241.83,97.74,130.57,nothing
295461,-0.7638,-3.0324,-9.2880,-0.0070,-0.0251,0.0840,-18.0475,-4.2189,161.4326,75.79,98.92,106.14,127.34,90.62,-1.2055,4.1062,-8.6739,-0.1486,0.0618,0.0384,25.1048,-7.2638,153.7228,193.13,269.19,228.41,92.13,121.89,nothing
295527,-0.6542,-3.0282,-9.3844,0.0161,0.0204,0.0917,-17.9454,-4.0070,161.5827,75.79,98.92,101.72,123.11,90.62,-1.2833,4.0894,-8.6625,-0.1952,0.0806,0.0384,25.0685,-7.4472,153.6992,183.25,249.83,201.58,86.52,130.57,nothing
295593,-0.6339,-2.9964,-9.3078,0.0237,-0.0359,0.0065,-17.8761,-3.8586,161.6845,70.43,89.96,97.30,123.11,94.86,-1.1624,4.1248,-8.6404,-0.1907,0.1182,-0.0124,25.1943,-7.1850,153.6609,163.49,249.83,241.83,103.35,134.91,nothing
295659,-0.6560,-3.0767,-9.3922,0.0239,-0.0308,0.0240,-17.9867,-3.8280,161.5830,70.43,98.92,106.14,127.34,94.86,-1.1594,3.9637,-8.6589,-0.2029,0.1185,0.0695,24.8007,-7.0639,154.0799,193.13,288.55,241.83,97.74,126.23,nothing
295725,-0.8218,-3.1599,-9.2527,-0.0132,0.0270,-0.0147,-18.3862,-4.3150,161.0786,81.15,98.92,101.72,123.11,94.86,-1.0744,4.0853,-8.7122,-0.2352,0.0735,-0.0429,24.8793,-6.7165,154.1088,193.13,269.19,241.83,86.52,126.23,nothing
295791,-0.7165,-2.9970,-9.3826,-0.0567,0.0284,0.0529,-18.0258,-4.2377,161.4492,75.79,89.96,92.89,123.11,90.62,-1.1989,4.3019,-8.6398,-0.0544,0.0327,-0.0115,25.5686,-6.9000,153.3845,163.49,240.15,228.41,97.74,139.25,nothing
295857,-0.7309,-2.8791,-9.3563,-0.0383,-0.0072,0.0234,-17.5416,-4.2538,161.9172,65.07,89.96,101.72,127.34,94.86,-1.2522,4.0302,-8.6913,-0.1242,0.0575,0.0143,25.1119,-7.1733,153.7443,173.37,269.19,268.66,97.74,130.57,nothing
295923,-0.6632,-3.0515,-9.3521,-0.0637,-0.0271,-0.0673,-17.7856,-4.0552,161.7276,75.79,103.40,101.72,127.34,90.62,-1.1971,4.0894,-8.6691,-0.1977,0.0702,0.0320,25.0791,-7.1462,153.7845,183.25,269.19,228.41,86.52,121.89,nothing
295989,-0.6830,-3.2317,-9.3988,-0.0154,0.0018,-0.0267,-18.3605,-3.9930,161.1798,75.79,112.36,97.30,118.87,90.62,-1.1648,4.3187,-8.6476,-0.2082,0.1110,-0.0196,25.7082,-7.0087,153.2164,163.49,259.51,214.99,92.13,134.91,nothing
296055,-0.7015,-3.0587,-9.3617,-0.0001,0.0376,0.0457,-18.2036,-4.0336,161.3240,70.43,89.96,97.30,127.34,94.86,-1.1445,4.1756,-8.7290,-0.1588,0.1097,0.0333,25.5414,-6.8768,153.4179,163.49,269.19,255.25,103.35,134.91,nothing
296121,-0.7386,-2.9569,-9.3641,0.0063,0.0094,0.0007,-17.8396,-4.1674,161.6480,70.43,94.44,106.14,127.34,94.86,-1.1223,4.1744,-8.6350,-0.1737,0.1328,-0.0354,25.5772,-6.7758,153.4129,173.37,288.55,241.83,92.13,126.23,nothing
296187,-0.8009,-2.9348,-9.3784,0.0079,0.0063,-0.0244,-17.5787,-4.4133,161.8404,75.79,98.92,101.72,123.11,94.86,-1.1552,4.1601,-8.6649,-0.1426,0.0468,0.0010,25.5134,-6.8147,153.4635,163.49,269.19,201.58,80.91,126.23,nothing
296253,-0.7213,-2.9964,-9.3682,-0.0472,-0.0260,-0.0095,-17.6333,-4.3037,161.8153,70.43,89.96,97.30,123.11,94.86,-1.2037,4.0475,-8.6949,-0.2328,0.0976,0.0387,25.1347,-6.9842,153.7806,143.74,259.51,268.66,103.35,134.91,nothing
296319,-0.7704,-3.0569,-9.2378,-0.0292,-0.0094,-0.0612,-17.9406,-4.4147,161.4880,70.43,89.96,106.14,131.58,90.62,-1.1157,4.0721,-8.6925,-0.0545,0.0780,0.0179,25.0285,-6.8072,153.9370,163.49,288.55,255.25,97.74,130.57,nothing
296385,-0.7201,-3.1527,-9.3222,-0.0234,0.0462,-0.0031,-18.2880,-4.2996,161.1782,81.15,98.92,106.14,127.34,86.39,-1.1068,4.1200,-8.6805,-0.2005,0.1070,-0.0376,25.1201,-6.6889,153.8829,173.37,278.87,228.41,80.91,121.89,nothing
296451,-0.6351,-3.0886,-9.3341,-0.0108,0.0082,0.0374,-18.2792,-3.9975,161.2584,75.79,89.96,92.89,118.87,90.62,-0.9841,4.3660,-8.6937,-0.2083,0.0975,-0.0027,25.8247,-6.2304,153.3247,153.62,249.83,228.41,97.74,134.91,nothing
296517,-0.6578,-2.9522,-9.3299,0.0172,-0.0299,-0.0552,-17.8991,-3.9219,161.6477,65.07,89.96,101.72,131.58,94.86,-1.0696,4.1571,-8.6589,-0.2308,0.0663,0.0065,25.6511,-6.2922,153.4776,153.62,288.55,268.66,97.74,134.91,nothing
296583,-0.7021,-3.1156,-9.2587,-0.0067,0.0151,-0.0417,-18.2233,-4.0164,161.3087,75.79,98.92,106.14,123.11,90.62,-1.1654,4.2690,-8.7338,-0.1022,0.0716,-0.0023,25.7514,-6.5656,153.3037,173.37,288.55,241.83,92.13,121.89,nothing
296649,-0.6919,-3.0689,-9.3676,-0.0642,-0.0522,0.0259,-18.1579,-4.0158,161.3728,75.79,98.92,97.30,123.11,90.62,-1.0421,3.9596,-8.7254,-0.2480,0.1190,0.0165,25.0080,-6.3879,154.0785,153.62,269.19,214.99,92.13,134.91,nothing
296715,-0.6500,-3.0653,-9.3593,-0.0014,0.0818,0.0065,-18.1257,-3.8959,161.4316,70.43,85.48,101.72,127.34,94.86,-1.0768,4.0697,-8.6027,-0.1414,0.0637,0.0245,25.0765,-6.4215,154.0022,143.74,269.19,268.66,108.96,134.91,nothing
296781,-0.7332,-2.9761,-9.3407,0.0166,0.0128,0.0001,-17.8742,-4.0865,161.6336,70.43,98.92,106.14,127.34,94.86,-1.1636,4.0793,-8.7326,-0.1497,0.0822,0.0210,24.9610,-6.6536,154.0479,173.37,288.55,255.25,92.13,126.23,nothing
296847,-0.7925,-2.9875,-9.3850,-0.0159,-0.0153,-0.0273,-17.7364,-4.3440,161.7048,81.15,94.44,101.72,123.11,86.39,-1.1576,4.1367,-8.6913,-0.0957,0.0758,-0.0095,25.1097,-6.7559,153.8734,163.49,269.19,228.41,86.52,126.23,nothing
296913,-0.6878,-2.9833,-9.3383,-0.0130,0.0234,0.0376,-17.7044,-4.1788,161.7771,91.88,94.44,97.30,123.11,94.86,-1.1211,3.9817,-8.7158,-0.1266,0.1009,-0.0329,24.7432,-6.7148,154.2415,143.74,259.51,241.83,97.74,139.25,nothing
296979,-0.7045,-3.0443,-9.3832,0.0093,0.0485,-0.0517,-17.8165,-4.1318,161.6791,65.07,94.44,110.56,131.58,94.86,-1.1074,4.1409,-8.6913,-0.2218,0.1028,-0.0035,25.0203,-6.6381,153.9948,173.37,288.55,255.25,97.74,130.57,nothing
297045,-0.6949,-3.0521,-9.3934,-0.0068,0.0110,0.0615,-17.8855,-4.0782,161.6245,75.79,98.92,101.72,123.11,90.62,-1.0774,4.1373,-8.7356,-0.1644,0.0538,0.0117,25.0985,-6.4989,153.9588,173.37,278.87,241.83,86.52,121.89,nothing
297112,-0.7243,-2.9701,-9.3102,-0.0218,0.0154,0.0195,-17.7651,-4.1581,161.7229,70.43,94.44,97.30,135.81,94.86,-1.1115,4.1122,-8.7014,-0.1680,0.0813,-0.0570,25.1073,-6.5435,153.9375,153.62,249.83,241.83,97.74,139.25,nothing
297178,-0.6459,-3.0407,-9.3341,0.0023,0.0225,-0.0083,-17.8844,-3.9611,161.6530,59.71,89.96,101.72,127.34,94.86,-1.1068,3.9578,-8.6338,-0.3028,-0.0461,-0.0990,24.7812,-6.5948,154.2400,163.49,288.55,282.08,97.74,130.57,nothing
